Order Date,Purchase Order,Customer ID,Customer Location,Order Req Amt (Ton),Fullfilled By ID,Fullfilled By Location,Supplied Amt (Ton),Cost Of Delivery ($)
2021-10-02 01:11:18.891630,50f43343-e930-4f2e-91be-606bc018c872,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,203,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,203,2233
2021-10-02 04:17:18.891630,cb06e4cc-5469-4e30-a92f-287ae4a62896,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,127,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,127,1016
2021-10-02 04:43:18.891630,a23e6eb8-8a52-434b-b35c-5c1d3a70b0ea,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,242,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,210,840
2021-09-02 03:26:18.892631,cd5fdc3d-b08f-426e-bc9e-fb25a676d2be,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,188,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,188,1880
2021-09-02 05:08:18.892631,90474d73-46c2-4e7a-a42e-27907d13fe48,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,154,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,154,1078
2021-09-02 06:05:18.892631,d432dbd7-bf0b-4fd2-b56d-00d06baec1b5,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,102,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,102,510
2021-08-02 13:04:18.893130,179e4d09-11a6-4659-a380-a6ef3103e495,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,307,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,293,3516
2021-08-02 14:28:18.893130,a1944fe4-f8fa-4a76-a290-6bbc5994aa28,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,129,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,129,903
2021-08-02 20:39:18.893130,d35d6abf-ad37-4404-b163-3c18d557f0f9,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,139,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,107,856
2021-07-03 16:59:18.894129,43567602-e2bb-4c86-aa1c-10675e9c34e6,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,93,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,93,744
